T_10,x_10,T_8,x_8,T_6,x_6,T_4,x_4,T_4.5,x_4.5,T_4.7,x_4.7,T_5,x_5,T_5.2,x_5.2
12.00706572772569,0.7438666666666667,11.994688221441969,0.7674666666666667,11.998670298553447,0.7784,12.000935720431052,0.8010666666666666,12.000177482664723,0.7929333333333333,11.996897460131894,0.7937333333333334,12.006379564366396,0.7937333333333334,11.996436887309734,0.7856000000000001
12.502782155306836,0.7436,12.50558087740344,0.7669333333333334,12.493513430089976,0.7781333333333333,12.507007297200992,0.8013333333333333,12.500347440261484,0.7929333333333333,12.508718844768673,0.7942666666666667,12.49604567244437,0.7932,12.49784733009088,0.7849333333333333
13.001835044850369,0.7434666666666666,13.000497108134596,0.7674666666666667,12.993643133163172,0.7781333333333333,13.004838528763305,0.8013333333333333,13.007589397336565,0.7932,12.993663389479527,0.7945333333333334,13.001818867637157,0.7932,13.005406327298713,0.7847999999999999
13.506707544038663,0.7441333333333333,13.495689922515618,0.7673333333333333,13.50243384140528,0.7785333333333333,13.492418501400032,0.8008000000000001,13.496474647081948,0.7933333333333333,13.497889372438763,0.7936000000000001,13.49797360375767,0.7937333333333334,13.493952279827935,0.7850666666666667
13.997852498178808,0.744,14.002662434215768,0.7669333333333334,13.99223700744609,0.778,14.00720210840249,0.8009333333333334,13.99916545744674,0.7938666666666666,14.002897329601971,0.7942666666666667,13.997351544640887,0.7936000000000001,14.000389252117104,0.7844
14.503017326363269,0.7445333333333334,14.504916075874336,0.7672,14.495524446738962,0.778,14.500847595883194,0.8013333333333333,14.506853643940495,0.7937333333333334,14.50789439697353,0.7936000000000001,14.493143443980886,0.7938666666666666,14.497662644873397,0.7842666666666667
15.001711146833518,0.7449333333333333,15.005051135312277,0.7670666666666667,15.003104089845117,0.778,15.000483186246544,0.8014666666666667,15.005731483896923,0.7936000000000001,15.005066344933486,0.7941333333333334,14.993182705018013,0.7936000000000001,14.999233695287616,0.7844
15.50403742915882,0.7446666666666667,15.495085240437923,0.7674666666666667,15.497119924376612,0.778,15.493073173209352,0.8012,15.50579170527912,0.7937333333333334,15.500505600357627,0.7937333333333334,15.50434320618188,0.7932,15.507405058809066,0.7844
15.9950428962098,0.7445333333333334,15.999666803063429,0.768,16.000380045389278,0.7774666666666668,15.999863395691593,0.8013333333333333,15.99821002466684,0.7941333333333334,16.004214192189444,0.7938666666666666,15.995997157463298,0.7934666666666667,15.998705850795172,0.7839999999999999
16.4972979005668,0.7433333333333333,16.496543944093993,0.768,16.50229112242307,0.7772,16.497142099095182,0.8013333333333333,16.498913678011778,0.7938666666666666,16.495265177453476,0.7930666666666666,16.503241692693205,0.7930666666666666,16.4943617060765,0.7841333333333333
16.99772555910077,0.7433333333333333,16.99774550375126,0.7681333333333333,16.99726398946116,0.7776,17.002320034172214,0.8013333333333333,16.99603032636322,0.7939999999999999,16.993857982229464,0.7929333333333333,17.008470433437584,0.7937333333333334,16.993855324775407,0.7845333333333334
17.498426512644738,0.7433333333333333,17.497453982639605,0.7678666666666667,17.502470145914643,0.7776,17.498035746841335,0.8014666666666667,17.493958693646093,0.7938666666666666,17.49713326833784,0.7934666666666667,17.505313178789557,0.7936000000000001,17.502516541156155,0.7842666666666667
18.00534773630121,0.7433333333333333,17.993390673658375,0.7678666666666667,17.995155288614544,0.7772,17.999776099765946,0.8017333333333334,17.99375149510731,0.7941333333333334,18.005084790025556,0.7934666666666667,18.002181165068354,0.7938666666666666,17.99922878150544,0.7847999999999999
18.49701395985788,0.7433333333333333,18.49603222492624,0.768,18.50221162485176,0.7773333333333333,18.49490317285864,0.8032,18.498575035087736,0.7945333333333334,18.49928225252217,0.7937333333333334,18.506647168448456,0.7944,18.497597056198504,0.7847999999999999
19.00764139703461,0.7433333333333333,19.00593822862738,0.7681333333333333,19.00034355313928,0.7773333333333333,19.005205748289303,0.8033333333333333,19.002647925470686,0.7942666666666667,18.999977374533565,0.7936000000000001,19.003355734202128,0.7938666666666666,19.003005412095376,0.7841333333333333
19.49661297075108,0.7433333333333333,19.498904809975706,0.7676,19.50072824544552,0.7773333333333333,19.49948768402593,0.8033333333333333,19.50001326269544,0.7949333333333333,19.49379374792217,0.7938666666666666,19.49707997903559,0.7938666666666666,19.502875103742497,0.7833333333333333
19.99846990986828,0.744,19.998481007898665,0.7678666666666667,20.00185964518425,0.7778666666666667,20.00005675708457,0.8033333333333333,19.99347128735816,0.7948,19.99726619129162,0.7939999999999999,19.99406514774992,0.7937333333333334,20.002358743242098,0.7834666666666666
