"T.gas","T.liquid","U.gas:0","U.gas:1","U.gas:2","U.liquid:0","U.liquid:1","U.liquid:2","air.gas","alpha.gas","alpha.liquid","alphat.gas","alphat.liquid","d.gas","k.gas","k.liquid","nut.gas","nut.liquid","omega.gas","omega.liquid","p","p_rgh","particle.gas","particle.liquid","particleMass_inAir","water.liquid","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
350,350,0.056639,0.13101,-0.0079567,0.056186,0.044649,-0.0029311,1,0.1299,0.8701,0.34215,1.7364,0.00057861,0.038635,0.013728,0.002457,0.0013093,15.72,9.661,1.3939e+07,1.394e+07,0,0.18181,17.126,0.81819,1,0.0054,0,0.15,0.0054
350,350,0.058782,0.13071,-0.008211,0.058306,0.044341,-0.0029944,1,0.12949,0.87051,0.34215,1.7309,0.00057861,0.038637,0.013731,0.002457,0.0013051,15.721,9.6638,1.3939e+07,1.394e+07,0,0.18181,17.058,0.81819,1,0.0056,0,0.15,0.0056
350,350,0.060925,0.13041,-0.0084653,0.060425,0.044033,-0.0030577,1,0.12907,0.87093,0.34215,1.7254,0.00057861,0.03864,0.013735,0.002457,0.0013009,15.722,9.6666,1.3939e+07,1.394e+07,0,0.18181,16.991,0.81819,1,0.0058,0,0.15,0.0058
350,350,0.063068,0.1301,-0.0087197,0.062545,0.043725,-0.003121,1,0.12865,0.87135,0.34214,1.7198,0.00057861,0.038642,0.013738,0.002457,0.0012967,15.723,9.6694,1.3939e+07,1.394e+07,0,0.18181,16.923,0.81819,1,0.006,0,0.15,0.006
350,350,0.065211,0.1298,-0.008974,0.064664,0.043417,-0.0031843,1,0.12823,0.87177,0.34214,1.7143,0.00057861,0.038644,0.013741,0.0024569,0.0012926,15.724,9.6722,1.3939e+07,1.394e+07,0,0.18181,16.855,0.81819,1,0.0062,0,0.15,0.0062
350,350,0.067354,0.12949,-0.0092284,0.066784,0.04311,-0.0032476,1,0.12781,0.87219,0.34214,1.7088,0.00057861,0.038647,0.013744,0.0024569,0.0012884,15.725,9.675,1.3939e+07,1.394e+07,0,0.18181,16.788,0.81819,1,0.0064,0,0.15,0.0064
350,350,0.069497,0.12919,-0.0094827,0.068903,0.042802,-0.0033109,1,0.1274,0.8726,0.34214,1.7032,0.00057861,0.038649,0.013747,0.0024569,0.0012842,15.726,9.6778,1.3939e+07,1.394e+07,0,0.18181,16.72,0.81819,1,0.0066,0,0.15,0.0066
350,350,0.07164,0.12888,-0.009737,0.071023,0.042494,-0.0033742,1,0.12698,0.87302,0.34213,1.6977,0.00057861,0.038652,0.013751,0.0024569,0.00128,15.726,9.6806,1.3939e+07,1.394e+07,0,0.18181,16.652,0.81819,1,0.0068,0,0.15,0.0068
350,350,0.073782,0.12858,-0.0099914,0.073143,0.042186,-0.0034375,1,0.12656,0.87344,0.34213,1.6921,0.00057861,0.038654,0.013754,0.0024568,0.0012759,15.727,9.6835,1.3939e+07,1.394e+07,0,0.18181,16.585,0.81819,1,0.007,0,0.15,0.007
350,350,0.075925,0.12827,-0.010246,0.075262,0.041879,-0.0035008,1,0.12614,0.87386,0.34213,1.6866,0.00057861,0.038656,0.013757,0.0024568,0.0012717,15.728,9.6863,1.3939e+07,1.394e+07,0,0.18181,16.517,0.81819,1,0.0072,0,0.15,0.0072
350,350,0.078068,0.12797,-0.0105,0.077382,0.041571,-0.0035641,1,0.12573,0.87427,0.34212,1.6811,0.00057861,0.038659,0.01376,0.0024568,0.0012675,15.729,9.6891,1.3939e+07,1.394e+07,0,0.18181,16.449,0.81819,1,0.0074,0,0.15,0.0074
350,350,0.080211,0.12766,-0.010754,0.079501,0.041263,-0.0036274,1,0.12531,0.87469,0.34212,1.6755,0.00057861,0.038661,0.013763,0.0024568,0.0012633,15.73,9.6919,1.3939e+07,1.394e+07,0,0.18181,16.381,0.81819,1,0.0076,0,0.15,0.0076
350,350,0.082354,0.12736,-0.011009,0.081621,0.040955,-0.0036907,1,0.12489,0.87511,0.34212,1.67,0.00057861,0.038664,0.013767,0.0024568,0.0012592,15.731,9.6947,1.3939e+07,1.394e+07,0,0.18181,16.314,0.81819,1,0.0078,0,0.15,0.0078
350,350,0.084497,0.12705,-0.011263,0.08374,0.040647,-0.003754,1,0.12447,0.87553,0.34212,1.6645,0.00057861,0.038666,0.01377,0.0024567,0.001255,15.732,9.6975,1.3939e+07,1.394e+07,0,0.18181,16.246,0.81819,1,0.008,0,0.15,0.008
350,350,0.08664,0.12675,-0.011517,0.08586,0.04034,-0.0038173,1,0.12406,0.87594,0.34211,1.6589,0.00057861,0.038668,0.013773,0.0024567,0.0012508,15.733,9.7003,1.3939e+07,1.394e+07,0,0.18181,16.178,0.81819,1,0.0082,0,0.15,0.0082
